,condition,elevation,humidity,latitude,location,longitude,pressure,temperature,time
180,Sunny,27.07,0.58,-33.87,Sydney,151.21,1011.37,28.53,1455843600
181,Sunny,27.07,0.55,-33.87,Sydney,151.21,1010.57,29.63,1455847200
182,Sunny,27.07,0.46,-33.87,Sydney,151.21,1009.9,31.81,1455850800
183,Rain,27.07,0.54,-33.87,Sydney,151.21,1009.59,29.98,1455854400
184,Sunny,27.07,0.56,-33.87,Sydney,151.21,1009.07,29.88,1455858000
185,Sunny,27.07,0.46,-33.87,Sydney,151.21,1008.64,31.39,1455861600
186,Sunny,27.07,0.61,-33.87,Sydney,151.21,1008.81,28.77,1455865200
187,Sunny,27.07,0.64,-33.87,Sydney,151.21,1009.24,27.74,1455868800
188,Sunny,27.07,0.65,-33.87,Sydney,151.21,1009.9,27.32,1455872400
189,Sunny,27.07,0.74,-33.87,Sydney,151.21,1011.06,26.21,1455876000
190,Sunny,27.07,0.78,-33.87,Sydney,151.21,1011.71,25.65,1455879600
191,Sunny,27.07,0.75,-33.87,Sydney,151.21,1011.88,26.07,1455883200
192,Sunny,27.07,0.62,-33.87,Sydney,151.21,1009.72,26.62,1456405200
193,Sunny,27.07,0.7,-33.87,Sydney,151.21,1010.21,25.34,1456408800
194,Rain,27.07,0.81,-33.87,Sydney,151.21,1010.22,22.82,1456412400
195,Sunny,27.07,0.76,-33.87,Sydney,151.21,1010.96,24.23,1456416000
196,Sunny,27.07,0.8,-33.87,Sydney,151.21,1011.2,23.53,1456419600
197,Rain,27.07,0.75,-33.87,Sydney,151.21,1011.3,22.38,1456423200
198,Sunny,27.07,0.78,-33.87,Sydney,151.21,1012.14,22.86,1456426800
199,Sunny,27.07,0.76,-33.87,Sydney,151.21,1013.19,23.0,1456430400
200,Rain,27.07,0.71,-33.87,Sydney,151.21,1013.98,24.09,1456434000
201,Rain,27.07,0.69,-33.87,Sydney,151.21,1014.91,25.13,1456437600
202,Sunny,27.07,0.65,-33.87,Sydney,151.21,1015.41,25.93,1456441200
203,Sunny,27.07,0.62,-33.87,Sydney,151.21,1015.28,27.02,1456444800
204,Rain,27.07,0.65,-33.87,Sydney,151.21,1016.17,26.35,1456448400
205,Sunny,27.07,0.66,-33.87,Sydney,151.21,1015.75,26.49,1456452000
206,Sunny,27.07,0.62,-33.87,Sydney,151.21,1014.64,27.91,1456455600
207,Rain,27.07,0.61,-33.87,Sydney,151.21,1015.17,26.74,1456459200
208,Sunny,27.07,0.6,-33.87,Sydney,151.21,1014.94,26.64,1456462800
209,Sunny,27.07,0.6,-33.87,Sydney,151.21,1013.78,27.3,1456466400
210,Rain,27.07,0.65,-33.87,Sydney,151.21,1015.18,25.13,1456470000
211,Sunny,27.07,0.67,-33.87,Sydney,151.21,1015.76,24.59,1456473600
212,Sunny,27.07,0.67,-33.87,Sydney,151.21,1015.48,25.18,1456477200
213,Rain,27.07,0.71,-33.87,Sydney,151.21,1017.13,24.22,1456480800
214,Sunny,27.07,0.71,-33.87,Sydney,151.21,1017.74,24.08,1456484400
215,Sunny,27.07,0.73,-33.87,Sydney,151.21,1017.1,24.11,1456488000
216,Sunny,27.07,0.78,-33.87,Sydney,151.21,1022.39,23.21,1457010000
217,Sunny,27.07,0.8,-33.87,Sydney,151.21,1022.16,22.96,1457013600
218,Sunny,27.07,0.78,-33.87,Sydney,151.21,1021.5,23.18,1457017200
219,Sunny,27.07,0.83,-33.87,Sydney,151.21,1021.44,22.02,1457020800
220,Sunny,27.07,0.84,-33.87,Sydney,151.21,1020.98,21.96,1457024400
221,Sunny,27.07,0.81,-33.87,Sydney,151.21,1020.58,22.14,1457028000
222,Rain,27.07,0.86,-33.87,Sydney,151.21,1021.0,21.59,1457031600
223,Sunny,27.07,0.84,-33.87,Sydney,151.21,1021.43,21.82,1457035200
224,Sunny,27.07,0.72,-33.87,Sydney,151.21,1021.46,24.31,1457038800
225,Rain,27.07,0.72,-33.87,Sydney,151.21,1021.93,24.58,1457042400
226,Sunny,27.07,0.66,-33.87,Sydney,151.21,1022.13,26.03,1457046000
227,Sunny,27.07,0.5,-33.87,Sydney,151.21,1021.54,28.57,1457049600
228,Rain,27.07,0.54,-33.87,Sydney,151.21,1021.48,28.06,1457053200
229,Sunny,27.07,0.52,-33.87,Sydney,151.21,1020.74,28.29,1457056800
230,Sunny,27.07,0.46,-33.87,Sydney,151.21,1019.58,29.03,1457060400
231,Sunny,27.07,0.5,-33.87,Sydney,151.21,1019.79,27.97,1457064000
232,Sunny,27.07,0.5,-33.87,Sydney,151.21,1019.29,27.78,1457067600
233,Sunny,27.07,0.51,-33.87,Sydney,151.21,1018.7,28.79,1457071200
234,Sunny,27.07,0.6,-33.87,Sydney,151.21,1019.35,26.22,1457074800
235,Sunny,27.07,0.67,-33.87,Sydney,151.21,1019.31,24.91,1457078400
236,Sunny,27.07,0.65,-33.87,Sydney,151.21,1019.4,25.26,1457082000
237,Sunny,27.07,0.7,-33.87,Sydney,151.21,1020.72,23.81,1457085600
238,Sunny,27.07,0.69,-33.87,Sydney,151.21,1021.07,23.43,1457089200
239,Sunny,27.07,0.63,-33.87,Sydney,151.21,1020.46,24.27,1457092800
240,Rain,27.07,0.81,-33.87,Sydney,151.21,1019.68,23.78,1457614800
241,Sunny,27.07,0.82,-33.87,Sydney,151.21,1019.48,23.74,1457618400
242,Sunny,27.07,0.88,-33.87,Sydney,151.21,1018.72,22.78,1457622000
243,Rain,27.07,0.84,-33.87,Sydney,151.21,1018.18,23.38,1457625600
244,Sunny,27.07,0.82,-33.87,Sydney,151.21,1018.18,23.71,1457629200
245,Sunny,27.07,0.81,-33.87,Sydney,151.21,1018.06,23.27,1457632800
246,Rain,27.07,0.85,-33.87,Sydney,151.21,1018.66,22.93,1457636400
247,Sunny,27.07,0.85,-33.87,Sydney,151.21,1019.06,22.98,1457640000
248,Sunny,27.07,0.79,-33.87,Sydney,151.21,1019.42,23.97,1457643600
249,Rain,27.07,0.78,-33.87,Sydney,151.21,1020.1,24.09,1457647200
250,Sunny,27.07,0.75,-33.87,Sydney,151.21,1020.3,24.74,1457650800
251,Sunny,27.07,0.62,-33.87,Sydney,151.21,1019.7,26.92,1457654400
252,Rain,27.07,0.67,-33.87,Sydney,151.21,1019.33,26.41,1457658000
253,Sunny,27.07,0.63,-33.87,Sydney,151.21,1018.56,27.26,1457661600
254,Sunny,27.07,0.5,-33.87,Sydney,151.21,1017.9,29.7,1457665200
255,Rain,27.07,0.64,-33.87,Sydney,151.21,1017.74,27.39,1457668800
256,Sunny,27.07,0.68,-33.87,Sydney,151.21,1017.95,26.57,1457672400
257,Sunny,27.07,0.61,-33.87,Sydney,151.21,1017.28,27.76,1457676000
258,Rain,27.07,0.67,-33.87,Sydney,151.21,1017.77,26.18,1457679600
259,Sunny,27.07,0.69,-33.87,Sydney,151.21,1017.94,25.52,1457683200
260,Sunny,27.07,0.67,-33.87,Sydney,151.21,1017.92,26.17,1457686800
261,Rain,27.07,0.75,-33.87,Sydney,151.21,1018.58,24.72,1457690400
262,Sunny,27.07,0.77,-33.87,Sydney,151.21,1018.88,24.33,1457694000
263,Sunny,27.07,0.79,-33.87,Sydney,151.21,1018.76,24.31,1457697600
264,Sunny,27.07,0.78,-33.87,Sydney,151.21,1010.46,20.94,1458219600
265,Sunny,27.07,0.83,-33.87,Sydney,151.21,1009.53,20.42,1458223200
266,Sunny,27.07,0.83,-33.87,Sydney,151.21,1008.4,20.16,1458226800
267,Sunny,27.07,0.84,-33.87,Sydney,151.21,1007.6,20.05,1458230400
268,Sunny,27.07,0.87,-33.87,Sydney,151.21,1006.57,19.33,1458234000
269,Sunny,27.07,0.82,-33.87,Sydney,151.21,1005.94,20.06,1458237600
270,Rain,27.07,0.87,-33.87,Sydney,151.21,1005.0,19.67,1458241200
271,Sunny,27.07,0.86,-33.87,Sydney,151.21,1004.59,19.89,1458244800
272,Sunny,27.07,0.74,-33.87,Sydney,151.21,1004.64,22.08,1458248400
273,Rain,27.07,0.74,-33.87,Sydney,151.21,1003.72,22.93,1458252000
274,Sunny,27.07,0.66,-33.87,Sydney,151.21,1003.26,24.29,1458255600
275,Sunny,27.07,0.54,-33.87,Sydney,151.21,1002.42,27.08,1458259200
276,Rain,27.07,0.77,-33.87,Sydney,151.21,1001.64,22.96,1458262800
277,Sunny,27.07,0.82,-33.87,Sydney,151.21,999.93,22.64,1458266400
278,Rain,27.07,0.7,-33.87,Sydney,151.21,999.24,25.83,1458270000
279,Rain,27.07,0.66,-33.87,Sydney,151.21,997.61,26.69,1458273600
280,Sunny,27.07,0.64,-33.87,Sydney,151.21,996.93,26.98,1458277200
281,Sunny,27.07,0.54,-33.87,Sydney,151.21,999.14,24.37,1458280800
282,Rain,27.07,0.56,-33.87,Sydney,151.21,999.5,23.98,1458284400
283,Sunny,27.07,0.47,-33.87,Sydney,151.21,1001.01,23.25,1458288000
284,Rain,27.07,0.48,-33.87,Sydney,151.21,1003.04,21.31,1458291600
285,Rain,27.07,0.46,-33.87,Sydney,151.21,1004.46,20.33,1458295200
286,Sunny,27.07,0.52,-33.87,Sydney,151.21,1005.45,19.3,1458298800
287,Sunny,27.07,0.55,-33.87,Sydney,151.21,1006.06,18.59,1458302400
288,Rain,27.07,0.75,-33.87,Sydney,151.21,1020.37,20.58,1458824400
289,Sunny,27.07,0.75,-33.87,Sydney,151.21,1019.91,20.46,1458828000
290,Sunny,27.07,0.67,-33.87,Sydney,151.21,1019.26,20.79,1458831600
291,Sunny,27.07,0.77,-33.87,Sydney,151.21,1018.71,19.66,1458835200
292,Sunny,27.07,0.79,-33.87,Sydney,151.21,1018.57,19.26,1458838800
293,Sunny,27.07,0.74,-33.87,Sydney,151.21,1017.88,19.25,1458842400
294,Rain,27.07,0.81,-33.87,Sydney,151.21,1017.97,18.88,1458846000
295,Sunny,27.07,0.83,-33.87,Sydney,151.21,1018.31,18.38,1458849600
296,Sunny,27.07,0.72,-33.87,Sydney,151.21,1018.48,19.88,1458853200
297,Rain,27.07,0.77,-33.87,Sydney,151.21,1018.88,20.21,1458856800
298,Sunny,27.07,0.74,-33.87,Sydney,151.21,1019.21,20.77,1458860400
299,Sunny,27.07,0.66,-33.87,Sydney,151.21,1019.1,22.99,1458864000
